date,ts_ms,coin,ret12,ret24,ret7d,day2_ret24,pump_max5m,mins_since_high12,retrace_from_high,vwap_dist,volr_15m,volr_1h,volr_2h,vol24_usd,oi_usd,funding_1h,funding_8h_sum,premium,spread_bps,depth_bid_05,depth_ask_05,btc_ret24,eth_ret24,breadth_up5,rank24,r30m,r1h,r2h,r3h,r6h,r24h,mae3h,fund_paid_3h,e18_r1h,e18_r2h,e18_r3h,e18_mae3h
2026-07-04,1783204474243,MEME,-0.008157,-0.060278,0.151515,0.050325,0.008210,765,0.012987,-0.006145,0.420476,0.424387,0.315457,265323,487306,0.000013,,0.000000,,,,0.010291,0.015176,9,171,-0.009868,-0.008224,-0.003289,-0.011513,-0.021382,-0.008224,0.001645,0.000038,-0.006547,-0.014730,-0.008183,0.000000
2026-07-04,1783204474243,ORDI,-0.004960,-0.026099,0.128329,0.030748,0.008721,70,0.014091,-0.000696,0.100941,0.946229,0.564432,513795,378744,0.000013,,0.000000,,,,0.010291,0.015176,9,150,-0.004121,-0.009567,-0.008789,-0.037748,-0.040629,-0.056045,0.000692,0.000038,-0.007950,-0.011337,-0.017708,0.003358
2026-07-04,1783204474243,NEO,0.003861,-0.001197,0.053130,0.028636,0.003354,280,0.017279,-0.002927,0.759059,0.582717,0.528889,78096,316981,0.000013,,0.000000,,,,0.010291,0.015176,9,86,-0.000200,-0.001748,-0.002298,-0.007992,-0.009640,0.000400,0.005644,0.000038,-0.003927,-0.006462,-0.004026,0.000746
2026-07-04,1783204474243,ZEN,0.019419,0.001941,0.072600,0.034270,0.006577,260,0.016289,0.007449,0.316301,0.433313,0.613877,130815,292020,0.000013,,0.000000,,,,0.010291,0.015176,9,74,0.000415,-0.002099,-0.006988,-0.010470,-0.012822,0.002306,0.000922,0.000038,-0.002162,-0.005979,-0.005243,0.000046
2026-07-04,1783204474243,FIL,0.000326,-0.010410,0.098711,0.043936,0.005024,280,0.022428,-0.003519,0.191523,0.456348,0.553540,249945,2193018,0.000013,,0.000000,,,,0.010291,0.015176,9,125,-0.001791,-0.000989,-0.007777,-0.012924,-0.012561,0.002693,0.002843,0.000038,-0.005088,-0.008895,-0.011470,0.000012
2026-07-04,1783204474243,PYTH,0.011108,-0.022522,0.144996,0.013468,0.008537,150,0.023891,0.000251,0.216335,0.460545,0.372984,518872,2468822,0.000013,,-0.000235,,,,0.010291,0.015176,9,145,-0.003862,-0.006367,-0.000365,-0.000470,0.009603,0.050857,0.018005,0.000038,-0.006513,-0.004541,-0.001739,0.006280
2026-07-04,1783204474243,SUSHI,0.001218,0.016945,0.089367,0.011131,0.011590,615,0.020666,-0.006262,0.535790,0.496162,0.603497,88431,383621,0.000013,,0.000000,,,,0.010291,0.015176,9,31,-0.004561,-0.006264,-0.012588,-0.018365,-0.018609,-0.009791,-0.000547,0.000038,-0.004851,-0.011217,-0.015279,-0.000303
2026-07-04,1783204474243,IMX,0.052592,0.061508,0.135418,0.086297,0.011361,85,0.029241,0.015433,0.395086,1.638664,2.376183,235306,1990762,0.000013,0.000100,0.000000,6.47,8934,6521,0.010291,0.015176,9,8,-0.004601,-0.004745,-0.020273,-0.021280,-0.023652,-0.003451,0.000575,0.000038,-0.020245,-0.026828,-0.031854,-0.000283
2026-07-04,1783204474243,kBONK,0.010996,-0.003812,0.195809,0.145747,0.012959,365,0.024750,0.005048,0.886246,0.438006,0.688846,5996190,9156675,0.000013,,0.000000,,,,0.010291,0.015176,9,98,-0.014099,-0.014502,-0.030010,-0.000806,0.019940,-0.017925,0.004632,0.000038,-0.021804,-0.040238,-0.026957,0.002180
2026-07-04,1783204474243,GMT,-0.004805,0.022661,0.084732,0.033765,0.011347,255,0.019898,-0.001991,0.238209,0.259350,0.462723,120961,263515,0.000013,,0.000000,,,,0.010291,0.015176,9,25,-0.002847,-0.005818,-0.009161,-0.019436,-0.019436,0.004085,0.001362,0.000038,-0.000742,-0.006309,-0.011009,0.000619
2026-07-04,1783204474243,SUPER,0.003785,-0.002825,0.062605,0.017540,0.005406,425,0.012831,-0.000448,0.480495,0.715386,0.720723,92410,136509,0.000013,,0.000000,,,,0.010291,0.015176,9,94,-0.003219,-0.005336,-0.013197,-0.019624,-0.018356,-0.008247,0.000121,0.000038,-0.003311,-0.005529,-0.013298,0.002395
2026-07-04,1783204474243,JUP,-0.000425,-0.030876,0.077638,-0.002382,0.007015,300,0.015762,0.000820,0.101465,0.116337,0.164095,1966378,9237030,0.000013,,-0.000390,,,,0.010291,0.015176,9,156,0.002506,0.003228,-0.002166,-0.000935,0.004163,0.039506,0.005437,0.000038,0.002713,-0.004451,-0.000424,0.002883
